date,rank,title,artist,collab
31417,1,Another Day In Paradise,Phil Collins,0
31417,2,Rhythm Nation,Janet Jackson,0
31417,3,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),1
31417,4,Pump Up The Jam,Technotronic,0
31417,5,With Every Beat Of My Heart,Taylor Dayne,0
31417,6,How Am I Supposed To Live Without You,Michael Bolton,0
31417,7,This One s For The Children,New Kids On The Block,0
31417,8,Just Like Jesse James,Cher,0
31417,9,We Didn t Start The Fire,Billy Joel,0
31417,10,Everything,Jody Watley,0
31424,1,Another Day In Paradise,Phil Collins,0
31424,2,Rhythm Nation,Janet Jackson,0
31424,3,Pump Up The Jam,Technotronic,0
31424,4,How Am I Supposed To Live Without You,Michael Bolton,0
31424,5,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),1
31424,6,Everything,Jody Watley,0
31424,7,This One s For The Children,New Kids On The Block,0
31424,8,Just Like Jesse James,Cher,0
31424,9,With Every Beat Of My Heart,Taylor Dayne,0
31424,10,Just Between You And Me,Lou Gramm,0
31431,1,How Am I Supposed To Live Without You,Michael Bolton,0
31431,2,Pump Up The Jam,Technotronic,0
31431,3,Another Day In Paradise,Phil Collins,0
31431,4,Everything,Jody Watley,0
31431,5,Downtown Train,Rod Stewart,0
31431,6,Rhythm Nation,Janet Jackson,0
31431,7,Just Between You And Me,Lou Gramm,0
31431,8,Free Fallin,Tom Petty,0
31431,9,Two To Make It Right,Seduction,0
31431,10,Love Song,Tesla,0
31438,1,How Am I Supposed To Live Without You,Michael Bolton,0
31438,2,Pump Up The Jam,Technotronic,0
31438,3,Downtown Train,Rod Stewart,0
31438,4,Everything,Jody Watley,0
31438,5,Two To Make It Right,Seduction,0
31438,6,Just Between You And Me,Lou Gramm,0
31438,7,Free Fallin,Tom Petty,0
31438,8,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31438,9,I Remember You,Skid Row,0
31438,10,Another Day In Paradise,Phil Collins,0
31445,1,How Am I Supposed To Live Without You,Michael Bolton,0
31445,2,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31445,3,Downtown Train,Rod Stewart,0
31445,4,Two To Make It Right,Seduction,0
31445,5,Janie s Got A Gun,Aerosmith,0
31445,6,I Remember You,Skid Row,0
31445,7,Free Fallin,Tom Petty,0
31445,8,Pump Up The Jam,Technotronic,0
31445,9,Just Between You And Me,Lou Gramm,0
31445,10,Everything,Jody Watley,0
31452,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31452,2,Two To Make It Right,Seduction,0
31452,3,Downtown Train,Rod Stewart,0
31452,4,Janie s Got A Gun,Aerosmith,0
31452,5,How Am I Supposed To Live Without You,Michael Bolton,0
31452,6,What Kind Of Man Would I Be?,Chicago,0
31452,7,Dangerous,Roxette,0
31452,8,I Remember You,Skid Row,0
31452,9,Escapade,Janet Jackson,0
31452,10,All Or Nothing,Milli Vanilli,0
31459,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31459,2,Two To Make It Right,Seduction,0
31459,3,Escapade,Janet Jackson,0
31459,4,Dangerous,Roxette,0
31459,5,Janie s Got A Gun,Aerosmith,0
31459,6,What Kind Of Man Would I Be?,Chicago,0
31459,7,All Or Nothing,Milli Vanilli,0
31459,8,Downtown Train,Rod Stewart,0
31459,9,Tell Me Why,Expose,0
31459,10,We Can t Go Wrong,The Cover Girls,0
31466,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31466,2,Escapade,Janet Jackson,0
31466,3,Dangerous,Roxette,0
31466,4,All Or Nothing,Milli Vanilli,0
31466,5,What Kind Of Man Would I Be?,Chicago,0
31466,6,Roam,The B-52 s,0
31466,7,Two To Make It Right,Seduction,0
31466,8,Here We Are,Gloria Estefan,0
31466,9,We Can t Go Wrong,The Cover Girls,0
31466,10,Price Of Love,Bad English,0
31473,1,Escapade,Janet Jackson,0
31473,2,Dangerous,Roxette,0
31473,3,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31473,4,Roam,The B-52 s,0
31473,5,All Or Nothing,Milli Vanilli,0
31473,6,Here We Are,Gloria Estefan,0
31473,7,Price Of Love,Bad English,0
31473,8,We Can t Go Wrong,The Cover Girls,0
31473,9,Black Velvet,Alannah Myles,0
31473,10,No More Lies,Michel le,0
31480,1,Escapade,Janet Jackson,0
31480,2,Dangerous,Roxette,0
31480,3,Roam,The B-52 s,0
31480,4,Black Velvet,Alannah Myles,0
31480,5,Price Of Love,Bad English,0
31480,6,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
31480,7,No More Lies,Michel le,0
31480,8,Here We Are,Gloria Estefan,0
31480,9,I Go To Extremes,Billy Joel,0
31480,10,Love Will Lead You Back,Taylor Dayne,0
31487,1,Escapade,Janet Jackson,0
31487,2,Black Velvet,Alannah Myles,0
31487,3,Roam,The B-52 s,0
31487,4,Love Will Lead You Back,Taylor Dayne,0
31487,5,Price Of Love,Bad English,0
31487,6,I Go To Extremes,Billy Joel,0
31487,7,No More Lies,Michel le,0
31487,8,I Wish It Would Rain Down,Phil Collins,0
31487,9,Just A Friend,Biz Markie,0
31487,10,C Mon And Get My Love,D-Mob With Cathy Dennis,1
31494,1,Black Velvet,Alannah Myles,0
31494,2,Love Will Lead You Back,Taylor Dayne,0
31494,3,Escapade,Janet Jackson,0
31494,4,Roam,The B-52 s,0
31494,5,I Wish It Would Rain Down,Phil Collins,0
31494,6,I ll Be Your Everything,Tommy Page,0
31494,7,All Around The World,Lisa Stansfield,0
31494,8,I Go To Extremes,Billy Joel,0
31494,9,Keep It Together,Madonna,0
31494,10,Get Up! (Before The Night Is Over),Technotronic,0
31501,1,Black Velvet,Alannah Myles,0
31501,2,Love Will Lead You Back,Taylor Dayne,0
31501,3,I Wish It Would Rain Down,Phil Collins,0
31501,4,I ll Be Your Everything,Tommy Page,0
31501,5,All Around The World,Lisa Stansfield,0
31501,6,Don t Wanna Fall In Love,Jane Child,0
31501,7,Escapade,Janet Jackson,0
31501,8,Keep It Together,Madonna,0
31501,9,Get Up! (Before The Night Is Over),Technotronic,0
31501,10,Here And Now,Luther Vandross,0
31508,1,Love Will Lead You Back,Taylor Dayne,0
31508,2,I ll Be Your Everything,Tommy Page,0
31508,3,All Around The World,Lisa Stansfield,0
31508,4,I Wish It Would Rain Down,Phil Collins,0
31508,5,Black Velvet,Alannah Myles,0
31508,6,Don t Wanna Fall In Love,Jane Child,0
31508,7,Get Up! (Before The Night Is Over),Technotronic,0
31508,8,Here And Now,Luther Vandross,0
31508,9,Nothing Compares 2 U,Sinead O Connor,0
31508,10,Forever,Kiss,0
31515,1,I ll Be Your Everything,Tommy Page,0
31515,2,Don t Wanna Fall In Love,Jane Child,0
31515,3,All Around The World,Lisa Stansfield,0
31515,4,Nothing Compares 2 U,Sinead O Connor,0
31515,5,Love Will Lead You Back,Taylor Dayne,0
31515,6,I Wanna Be Rich,Calloway,0
31515,7,Here And Now,Luther Vandross,0
31515,8,Get Up! (Before The Night Is Over),Technotronic,0
31515,9,Forever,Kiss,0
31515,10,Black Velvet,Alannah Myles,0
31522,1,Nothing Compares 2 U,Sinead O Connor,0
31522,2,Don t Wanna Fall In Love,Jane Child,0
31522,3,All Around The World,Lisa Stansfield,0
31522,4,I Wanna Be Rich,Calloway,0
31522,5,I ll Be Your Everything,Tommy Page,0
31522,6,Here And Now,Luther Vandross,0
31522,7,How Can We Be Lovers,Michael Bolton,0
31522,8,Forever,Kiss,0
31522,9,Without You,Motley Crue,0
31522,10,"Whole Wide World (From ""True Love"")",A me Lorain,0
31529,1,Nothing Compares 2 U,Sinead O Connor,0
31529,2,Don t Wanna Fall In Love,Jane Child,0
31529,3,I Wanna Be Rich,Calloway,0
31529,4,All Around The World,Lisa Stansfield,0
31529,5,How Can We Be Lovers,Michael Bolton,0
31529,6,Whip Appeal,Babyface,0
31529,7,Here And Now,Luther Vandross,0
31529,8,Without You,Motley Crue,0
31529,9,"Whole Wide World (From ""True Love"")",A me Lorain,0
31529,10,All I Wanna Do Is Make Love To You,Heart,0
31536,1,Nothing Compares 2 U,Sinead O Connor,0
31536,2,I Wanna Be Rich,Calloway,0
31536,3,How Can We Be Lovers,Michael Bolton,0
31536,4,Vogue,Madonna,0
31536,5,All I Wanna Do Is Make Love To You,Heart,0
31536,6,Don t Wanna Fall In Love,Jane Child,0
31536,7,Whip Appeal,Babyface,0
31536,8,All Around The World,Lisa Stansfield,0
31536,9,What It Takes,Aerosmith,0
31536,10,Alright,Janet Jackson,0
31543,1,Nothing Compares 2 U,Sinead O Connor,0
31543,2,Vogue,Madonna,0
31543,3,I Wanna Be Rich,Calloway,0
31543,4,All I Wanna Do Is Make Love To You,Heart,0
31543,5,How Can We Be Lovers,Michael Bolton,0
31543,6,Hold On,Wilson Phillips,0
31543,7,Sending All My Love,Linear,0
31543,8,Alright,Janet Jackson,0
31543,9,What It Takes,Aerosmith,0
31543,10,Poison,Bell Biv Devoe,0
31550,1,Vogue,Madonna,0
31550,2,Nothing Compares 2 U,Sinead O Connor,0
31550,3,All I Wanna Do Is Make Love To You,Heart,0
31550,4,Hold On,Wilson Phillips,0
31550,5,Sending All My Love,Linear,0
31550,6,Alright,Janet Jackson,0
31550,7,I Wanna Be Rich,Calloway,0
31550,8,Poison,Bell Biv Devoe,0
31550,9,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31550,10,What It Takes,Aerosmith,0
31557,1,Vogue,Madonna,0
31557,2,All I Wanna Do Is Make Love To You,Heart,0
31557,3,Nothing Compares 2 U,Sinead O Connor,0
31557,4,Hold On,Wilson Phillips,0
31557,5,Alright,Janet Jackson,0
31557,6,Poison,Bell Biv Devoe,0
31557,7,Sending All My Love,Linear,0
31557,8,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31557,9,U Can t Touch This,M.C. Hammer,0
31557,10,This Old Heart Of Mine,Rod Stewart With Ronald Isley,1
31564,1,Vogue,Madonna,0
31564,2,All I Wanna Do Is Make Love To You,Heart,0
31564,3,Hold On,Wilson Phillips,0
31564,4,Alright,Janet Jackson,0
31564,5,Poison,Bell Biv Devoe,0
31564,6,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31564,7,Nothing Compares 2 U,Sinead O Connor,0
31564,8,Sending All My Love,Linear,0
31564,9,U Can t Touch This,M.C. Hammer,0
31564,10,Ooh La La (I Can t Get Over You),Perfect Gentlemen,0
31571,1,Hold On,Wilson Phillips,0
31571,2,Vogue,Madonna,0
31571,3,Poison,Bell Biv Devoe,0
31571,4,All I Wanna Do Is Make Love To You,Heart,0
31571,5,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31571,6,Alright,Janet Jackson,0
31571,7,Sending All My Love,Linear,0
31571,8,Step By Step,New Kids On The Block,0
31571,9,U Can t Touch This,M.C. Hammer,0
31571,10,Nothing Compares 2 U,Sinead O Connor,0
31578,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31578,2,Hold On,Wilson Phillips,0
31578,3,Poison,Bell Biv Devoe,0
31578,4,Step By Step,New Kids On The Block,0
31578,5,Vogue,Madonna,0
31578,6,All I Wanna Do Is Make Love To You,Heart,0
31578,7,Alright,Janet Jackson,0
31578,8,U Can t Touch This,M.C. Hammer,0
31578,9,Ready Or Not,After 7,0
31578,10,Do You Remember?,Phil Collins,0
31585,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31585,2,Step By Step,New Kids On The Block,0
31585,3,Poison,Bell Biv Devoe,0
31585,4,Hold On,Wilson Phillips,0
31585,5,Do You Remember?,Phil Collins,0
31585,6,Vogue,Madonna,0
31585,7,Ready Or Not,After 7,0
31585,8,Hold On,En Vogue,0
31585,9,U Can t Touch This,M.C. Hammer,0
31585,10,I ll Be Your Shelter,Taylor Dayne,0
31592,1,Step By Step,New Kids On The Block,0
31592,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31592,3,Poison,Bell Biv Devoe,0
31592,4,Do You Remember?,Phil Collins,0
31592,5,Hold On,Wilson Phillips,0
31592,6,Hold On,En Vogue,0
31592,7,Ready Or Not,After 7,0
31592,8,I ll Be Your Shelter,Taylor Dayne,0
31592,9,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31592,10,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31599,1,Step By Step,New Kids On The Block,0
31599,2,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31599,3,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31599,4,Poison,Bell Biv Devoe,0
31599,5,Hold On,En Vogue,0
31599,6,Do You Remember?,Phil Collins,0
31599,7,I ll Be Your Shelter,Taylor Dayne,0
31599,8,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31599,9,Hold On,Wilson Phillips,0
31599,10,Rub You The Right Way,Johnny Gill,0
31606,1,Step By Step,New Kids On The Block,0
31606,2,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31606,3,Hold On,En Vogue,0
31606,4,I ll Be Your Shelter,Taylor Dayne,0
31606,5,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31606,6,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,0
31606,7,Rub You The Right Way,Johnny Gill,0
31606,8,Enjoy The Silence,Depeche Mode,0
31606,9,The Power,Snap,0
31606,10,Poison,Bell Biv Devoe,0
31613,1,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31613,2,Hold On,En Vogue,0
31613,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31613,4,Rub You The Right Way,Johnny Gill,0
31613,5,Vision Of Love,Mariah Carey,0
31613,6,Step By Step,New Kids On The Block,0
31613,7,The Power,Snap,0
31613,8,Girls Nite Out,Tyler Collins,0
31613,9,Enjoy The Silence,Depeche Mode,0
31613,10,When I m Back On My Feet Again,Michael Bolton,0
31620,1,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31620,2,Vision Of Love,Mariah Carey,0
31620,3,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31620,4,Rub You The Right Way,Johnny Gill,0
31620,5,Hold On,En Vogue,0
31620,6,The Power,Snap,0
31620,7,Girls Nite Out,Tyler Collins,0
31620,8,When I m Back On My Feet Again,Michael Bolton,0
31620,9,Enjoy The Silence,Depeche Mode,0
31620,10,Hanky Panky,Madonna,0
31627,1,Vision Of Love,Mariah Carey,0
31627,2,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31627,3,Rub You The Right Way,Johnny Gill,0
31627,4,The Power,Snap,0
31627,5,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31627,6,Girls Nite Out,Tyler Collins,0
31627,7,When I m Back On My Feet Again,Michael Bolton,0
31627,8,If Wishes Came True,Sweet Sensation,0
31627,9,Hold On,En Vogue,0
31627,10,Unskinny Bop,Poison,0
31634,1,Vision Of Love,Mariah Carey,0
31634,2,The Power,Snap,0
31634,3,Rub You The Right Way,Johnny Gill,0
31634,4,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31634,5,If Wishes Came True,Sweet Sensation,0
31634,6,Come Back To Me,Janet Jackson,0
31634,7,Unskinny Bop,Poison,0
31634,8,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,0
31634,9,She Ain t Worth It,Glenn Medeiros Featuring Bobby Brown,1
31634,10,Do Me!,Bell Biv Devoe,0
31641,1,Vision Of Love,Mariah Carey,0
31641,2,Come Back To Me,Janet Jackson,0
31641,3,If Wishes Came True,Sweet Sensation,0
31641,4,The Power,Snap,0
31641,5,Unskinny Bop,Poison,0
31641,6,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31641,7,Do Me!,Bell Biv Devoe,0
31641,8,Have You Seen Her,M.C. Hammer,0
31641,9,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,0
31641,10,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,0
31648,1,Vision Of Love,Mariah Carey,0
31648,2,Come Back To Me,Janet Jackson,0
31648,3,If Wishes Came True,Sweet Sensation,0
31648,4,Unskinny Bop,Poison,0
31648,5,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31648,6,Release Me,Wilson Phillips,0
31648,7,Do Me!,Bell Biv Devoe,0
31648,8,Have You Seen Her,M.C. Hammer,0
31648,9,Jerk Out,The Time,0
31648,10,Epic,Faith No More,0
31655,1,If Wishes Came True,Sweet Sensation,0
31655,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31655,3,Unskinny Bop,Poison,0
31655,4,Release Me,Wilson Phillips,0
31655,5,Do Me!,Bell Biv Devoe,0
31655,6,Come Back To Me,Janet Jackson,0
31655,7,Have You Seen Her,M.C. Hammer,0
31655,8,Vision Of Love,Mariah Carey,0
31655,9,Jerk Out,The Time,0
31655,10,Tonight,New Kids On The Block,0
31662,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31662,2,Release Me,Wilson Phillips,0
31662,3,Do Me!,Bell Biv Devoe,0
31662,4,Unskinny Bop,Poison,0
31662,5,If Wishes Came True,Sweet Sensation,0
31662,6,Have You Seen Her,M.C. Hammer,0
31662,7,Tonight,New Kids On The Block,0
31662,8,(Can t Live Without Your) Love And Affection,Nelson,0
31662,9,Epic,Faith No More,0
31662,10,Come Back To Me,Janet Jackson,0
31669,1,Release Me,Wilson Phillips,0
31669,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31669,3,Do Me!,Bell Biv Devoe,0
31669,4,Have You Seen Her,M.C. Hammer,0
31669,5,Unskinny Bop,Poison,0
31669,6,(Can t Live Without Your) Love And Affection,Nelson,0
31669,7,Thieves In The Temple,The Artist,0
31669,8,If Wishes Came True,Sweet Sensation,0
31669,9,Tonight,New Kids On The Block,0
31669,10,Close To You,Maxi Priest,0
31676,1,Release Me,Wilson Phillips,0
31676,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31676,3,Do Me!,Bell Biv Devoe,0
31676,4,(Can t Live Without Your) Love And Affection,Nelson,0
31676,5,Close To You,Maxi Priest,0
31676,6,Thieves In The Temple,The Artist,0
31676,7,Something Happened On The Way To Heaven,Phil Collins,0
31676,8,Praying For Time,George Michael,0
31676,9,Have You Seen Her,M.C. Hammer,0
31676,10,Unskinny Bop,Poison,0
31683,1,(Can t Live Without Your) Love And Affection,Nelson,0
31683,2,Close To You,Maxi Priest,0
31683,3,Release Me,Wilson Phillips,0
31683,4,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31683,5,Praying For Time,George Michael,0
31683,6,Something Happened On The Way To Heaven,Phil Collins,0
31683,7,Do Me!,Bell Biv Devoe,0
31683,8,Thieves In The Temple,The Artist,0
31683,9,Oh Girl,Paul Young,0
31683,10,"My, My, My",Johnny Gill,0
31690,1,Close To You,Maxi Priest,0
31690,2,Praying For Time,George Michael,0
31690,3,(Can t Live Without Your) Love And Affection,Nelson,0
31690,4,Something Happened On The Way To Heaven,Phil Collins,0
31690,5,I Don t Have The Heart,James Ingram,0
31690,6,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,0
31690,7,Ice Ice Baby,Vanilla Ice,0
31690,8,Oh Girl,Paul Young,0
31690,9,Do Me!,Bell Biv Devoe,0
31690,10,Release Me,Wilson Phillips,0
31697,1,Praying For Time,George Michael,0
31697,2,Close To You,Maxi Priest,0
31697,3,I Don t Have The Heart,James Ingram,0
31697,4,Ice Ice Baby,Vanilla Ice,0
31697,5,Black Cat,Janet Jackson,0
31697,6,(Can t Live Without Your) Love And Affection,Nelson,0
31697,7,Romeo,Dino,0
31697,8,Something Happened On The Way To Heaven,Phil Collins,0
31697,9,Everybody Everybody,Black Box,0
31697,10,Oh Girl,Paul Young,0
31704,1,I Don t Have The Heart,James Ingram,0
31704,2,Black Cat,Janet Jackson,0
31704,3,Praying For Time,George Michael,0
31704,4,Ice Ice Baby,Vanilla Ice,0
31704,5,Close To You,Maxi Priest,0
31704,6,Romeo,Dino,0
31704,7,Giving You The Benefit,Pebbles,0
31704,8,Everybody Everybody,Black Box,0
31704,9,Can t Stop,After 7,0
31704,10,(Can t Live Without Your) Love And Affection,Nelson,0
31711,1,Black Cat,Janet Jackson,0
31711,2,I Don t Have The Heart,James Ingram,0
31711,3,Ice Ice Baby,Vanilla Ice,0
31711,4,Giving You The Benefit,Pebbles,0
31711,5,Love Takes Time,Mariah Carey,0
31711,6,Can t Stop,After 7,0
31711,7,Close To You,Maxi Priest,0
31711,8,Praying For Time,George Michael,0
31711,9,Suicide Blonde,INXS,0
31711,10,Everybody Everybody,Black Box,0
31718,1,Ice Ice Baby,Vanilla Ice,0
31718,2,Black Cat,Janet Jackson,0
31718,3,Love Takes Time,Mariah Carey,0
31718,4,Giving You The Benefit,Pebbles,0
31718,5,I Don t Have The Heart,James Ingram,0
31718,6,Pray,M.C. Hammer,0
31718,7,Can t Stop,After 7,0
31718,8,More Than Words Can Say,Alias,0
31718,9,Suicide Blonde,INXS,0
31718,10,Cherry Pie,Warrant,0
31725,1,Love Takes Time,Mariah Carey,0
31725,2,Pray,M.C. Hammer,0
31725,3,Ice Ice Baby,Vanilla Ice,0
31725,4,Giving You The Benefit,Pebbles,0
31725,5,I Don t Have The Heart,James Ingram,0
31725,6,More Than Words Can Say,Alias,0
31725,7,Black Cat,Janet Jackson,0
31725,8,Groove Is In The Heart,Deee-Lite,0
31725,9,Knockin  Boots,Candyman,0
31725,10,Something To Believe In,Poison,0
31732,1,Love Takes Time,Mariah Carey,0
31732,2,Pray,M.C. Hammer,0
31732,3,More Than Words Can Say,Alias,0
31732,4,Groove Is In The Heart,Deee-Lite,0
31732,5,I m Your Baby Tonight,Whitney Houston,0
31732,6,Ice Ice Baby,Vanilla Ice,0
31732,7,Something To Believe In,Poison,0
31732,8,Because I Love You (The Postman Song),Stevie B,0
31732,9,I Don t Have The Heart,James Ingram,0
31732,10,From A Distance,Bette Midler,0
31739,1,Love Takes Time,Mariah Carey,0
31739,2,More Than Words Can Say,Alias,0
31739,3,I m Your Baby Tonight,Whitney Houston,0
31739,4,Groove Is In The Heart,Deee-Lite,0
31739,5,Because I Love You (The Postman Song),Stevie B,0
31739,6,Something To Believe In,Poison,0
31739,7,From A Distance,Bette Midler,0
31739,8,Pray,M.C. Hammer,0
31739,9,Feels Good,Tony Toni Tone,0
31739,10,Knockin  Boots,Candyman,0
31746,1,I m Your Baby Tonight,Whitney Houston,0
31746,2,Love Takes Time,Mariah Carey,0
31746,3,Because I Love You (The Postman Song),Stevie B,0
31746,4,Groove Is In The Heart,Deee-Lite,0
31746,5,From A Distance,Bette Midler,0
31746,6,Something To Believe In,Poison,0
31746,7,More Than Words Can Say,Alias,0
31746,8,The Way You Do The Things You Do,UB40,0
31746,9,Impulsive,Wilson Phillips,0
31746,10,Feels Good,Tony Toni Tone,0
31753,1,Because I Love You (The Postman Song),Stevie B,0
31753,2,I m Your Baby Tonight,Whitney Houston,0
31753,3,From A Distance,Bette Midler,0
31753,4,Something To Believe In,Poison,0
31753,5,Love Takes Time,Mariah Carey,0
31753,6,Groove Is In The Heart,Deee-Lite,0
31753,7,Impulsive,Wilson Phillips,0
31753,8,The Way You Do The Things You Do,UB40,0
31753,9,Tom s Diner,DNA Featuring Suzanne Vega,1
31753,10,Justify My Love,Madonna,0
31760,1,Because I Love You (The Postman Song),Stevie B,0
31760,2,From A Distance,Bette Midler,0
31760,3,I m Your Baby Tonight,Whitney Houston,0
31760,4,Justify My Love,Madonna,0
31760,5,Impulsive,Wilson Phillips,0
31760,6,The Way You Do The Things You Do,UB40,0
31760,7,Tom s Diner,DNA Featuring Suzanne Vega,1
31760,8,Something To Believe In,Poison,0
31760,9,Freedom,George Michael,0
31760,10,High Enough,Damn Yankees,0
31767,1,Because I Love You (The Postman Song),Stevie B,0
31767,2,Justify My Love,Madonna,0
31767,3,From A Distance,Bette Midler,0
31767,4,Impulsive,Wilson Phillips,0
31767,5,Tom s Diner,DNA Featuring Suzanne Vega,1
