date,month,year,collabs,percent
1-Aug-15,8,2015,15,0.375
1-Jul-15,7,2015,17,0.425
1-Jun-15,6,2015,16,0.4
1-May-15,5,2015,14,0.28
1-Apr-15,4,2015,15,0.375
1-Mar-15,3,2015,11,0.275
1-Feb-15,2,2015,6,0.15
1-Jan-15,1,2015,7,0.14
1-Dec-14,12,2014,7,0.175
1-Nov-14,11,2014,14,0.28
1-Oct-14,10,2014,16,0.4
1-Sep-14,9,2014,13,0.325
1-Aug-14,8,2014,24,0.48
1-Jul-14,7,2014,20,0.5
1-Jun-14,6,2014,23,0.575
1-May-14,5,2014,25,0.5
1-Apr-14,4,2014,12,0.3
1-Mar-14,3,2014,22,0.44
1-Feb-14,2,2014,19,0.475
1-Jan-14,1,2014,14,0.35
1-Dec-13,12,2013,13,0.325
1-Nov-13,11,2013,12,0.24
1-Oct-13,10,2013,16,0.4
1-Sep-13,9,2013,15,0.375
1-Aug-13,8,2013,21,0.42
1-Jul-13,7,2013,19,0.475
1-Jun-13,6,2013,33,0.66
1-May-13,5,2013,26,0.65
1-Apr-13,4,2013,25,0.625
1-Mar-13,3,2013,25,0.5
1-Feb-13,2,2013,21,0.525
1-Jan-13,1,2013,11,0.275
1-Dec-12,12,2012,2,0.04
1-Nov-12,11,2012,3,0.075
1-Oct-12,10,2012,7,0.175
1-Sep-12,9,2012,12,0.24
1-Aug-12,8,2012,12,0.3
1-Jul-12,7,2012,14,0.35
1-Jun-12,6,2012,20,0.4
1-May-12,5,2012,16,0.4
1-Apr-12,4,2012,14,0.35
1-Mar-12,3,2012,21,0.42
1-Feb-12,2,2012,11,0.275
1-Jan-12,1,2012,11,0.275
1-Dec-11,12,2011,22,0.44
1-Nov-11,11,2011,23,0.575
1-Oct-11,10,2011,30,0.6
1-Sep-11,9,2011,18,0.45
1-Aug-11,8,2011,14,0.35
1-Jul-11,7,2011,16,0.32
1-Jun-11,6,2011,18,0.45
1-May-11,5,2011,18,0.45
1-Apr-11,4,2011,20,0.4
1-Mar-11,3,2011,13,0.325
1-Feb-11,2,2011,13,0.325
1-Jan-11,1,2011,11,0.22
1-Dec-10,12,2010,9,0.225
1-Nov-10,11,2010,14,0.35
1-Oct-10,10,2010,23,0.46
1-Sep-10,9,2010,18,0.45
1-Aug-10,8,2010,23,0.575
1-Jul-10,7,2010,27,0.54
1-Jun-10,6,2010,21,0.525
1-May-10,5,2010,23,0.46
1-Apr-10,4,2010,20,0.5
1-Mar-10,3,2010,10,0.25
1-Feb-10,2,2010,11,0.275
1-Jan-10,1,2010,15,0.3
1-Dec-09,12,2009,8,0.2
1-Nov-09,11,2009,6,0.15
1-Oct-09,10,2009,11,0.22
1-Sep-09,9,2009,13,0.325
1-Aug-09,8,2009,12,0.24
1-Jul-09,7,2009,4,0.1
1-Jun-09,6,2009,6,0.15
1-May-09,5,2009,17,0.34
1-Apr-09,4,2009,16,0.4
1-Mar-09,3,2009,17,0.425
1-Feb-09,2,2009,10,0.25
1-Jan-09,1,2009,13,0.26
1-Dec-08,12,2008,8,0.2
