date,rank,title,artist,collab
6-Jan-90,1,Another Day In Paradise,Phil Collins,0
6-Jan-90,2,Rhythm Nation,Janet Jackson,0
6-Jan-90,3,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),1
6-Jan-90,4,Pump Up The Jam,Technotronic,0
6-Jan-90,5,With Every Beat Of My Heart,Taylor Dayne,0
6-Jan-90,6,How Am I Supposed To Live Without You,Michael Bolton,0
6-Jan-90,7,This One s For The Children,New Kids On The Block,0
6-Jan-90,8,Just Like Jesse James,Cher,0
6-Jan-90,9,We Didn t Start The Fire,Billy Joel,0
6-Jan-90,10,Everything,Jody Watley,0
13-Jan-90,1,Another Day In Paradise,Phil Collins,0
13-Jan-90,2,Rhythm Nation,Janet Jackson,0
13-Jan-90,3,Pump Up The Jam,Technotronic,0
13-Jan-90,4,How Am I Supposed To Live Without You,Michael Bolton,0
13-Jan-90,5,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),1
13-Jan-90,6,Everything,Jody Watley,0
13-Jan-90,7,This One s For The Children,New Kids On The Block,0
13-Jan-90,8,Just Like Jesse James,Cher,0
13-Jan-90,9,With Every Beat Of My Heart,Taylor Dayne,0
13-Jan-90,10,Just Between You And Me,Lou Gramm,0
20-Jan-90,1,How Am I Supposed To Live Without You,Michael Bolton,0
20-Jan-90,2,Pump Up The Jam,Technotronic,0
20-Jan-90,3,Another Day In Paradise,Phil Collins,0
20-Jan-90,4,Everything,Jody Watley,0
20-Jan-90,5,Downtown Train,Rod Stewart,0
20-Jan-90,6,Rhythm Nation,Janet Jackson,0
20-Jan-90,7,Just Between You And Me,Lou Gramm,0
20-Jan-90,8,Free Fallin,Tom Petty,0
20-Jan-90,9,Two To Make It Right,Seduction,0
20-Jan-90,10,Love Song,Tesla,0
27-Jan-90,1,How Am I Supposed To Live Without You,Michael Bolton,0
27-Jan-90,2,Pump Up The Jam,Technotronic,0
27-Jan-90,3,Downtown Train,Rod Stewart,0
27-Jan-90,4,Everything,Jody Watley,0
27-Jan-90,5,Two To Make It Right,Seduction,0
27-Jan-90,6,Just Between You And Me,Lou Gramm,0
27-Jan-90,7,Free Fallin,Tom Petty,0
27-Jan-90,8,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
27-Jan-90,9,I Remember You,Skid Row,0
27-Jan-90,10,Another Day In Paradise,Phil Collins,0
3-Feb-90,1,How Am I Supposed To Live Without You,Michael Bolton,0
3-Feb-90,2,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
3-Feb-90,3,Downtown Train,Rod Stewart,0
3-Feb-90,4,Two To Make It Right,Seduction,0
3-Feb-90,5,Janie s Got A Gun,Aerosmith,0
3-Feb-90,6,I Remember You,Skid Row,0
3-Feb-90,7,Free Fallin,Tom Petty,0
3-Feb-90,8,Pump Up The Jam,Technotronic,0
3-Feb-90,9,Just Between You And Me,Lou Gramm,0
3-Feb-90,10,Everything,Jody Watley,0
10-Feb-90,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
10-Feb-90,2,Two To Make It Right,Seduction,0
10-Feb-90,3,Downtown Train,Rod Stewart,0
10-Feb-90,4,Janie s Got A Gun,Aerosmith,0
10-Feb-90,5,How Am I Supposed To Live Without You,Michael Bolton,0
10-Feb-90,6,What Kind Of Man Would I Be?,Chicago,0
10-Feb-90,7,Dangerous,Roxette,0
10-Feb-90,8,I Remember You,Skid Row,0
10-Feb-90,9,Escapade,Janet Jackson,0
10-Feb-90,10,All Or Nothing,Milli Vanilli,0
17-Feb-90,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
17-Feb-90,2,Two To Make It Right,Seduction,0
17-Feb-90,3,Escapade,Janet Jackson,0
17-Feb-90,4,Dangerous,Roxette,0
17-Feb-90,5,Janie s Got A Gun,Aerosmith,0
17-Feb-90,6,What Kind Of Man Would I Be?,Chicago,0
17-Feb-90,7,All Or Nothing,Milli Vanilli,0
17-Feb-90,8,Downtown Train,Rod Stewart,0
17-Feb-90,9,Tell Me Why,Expose,0
17-Feb-90,10,We Can t Go Wrong,The Cover Girls,0
24-Feb-90,1,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
24-Feb-90,2,Escapade,Janet Jackson,0
24-Feb-90,3,Dangerous,Roxette,0
24-Feb-90,4,All Or Nothing,Milli Vanilli,0
24-Feb-90,5,What Kind Of Man Would I Be?,Chicago,0
24-Feb-90,6,Roam,The B-52 s,0
24-Feb-90,7,Two To Make It Right,Seduction,0
24-Feb-90,8,Here We Are,Gloria Estefan,0
24-Feb-90,9,We Can t Go Wrong,The Cover Girls,0
24-Feb-90,10,Price Of Love,Bad English,0
3-Mar-90,1,Escapade,Janet Jackson,0
3-Mar-90,2,Dangerous,Roxette,0
3-Mar-90,3,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
3-Mar-90,4,Roam,The B-52 s,0
3-Mar-90,5,All Or Nothing,Milli Vanilli,0
3-Mar-90,6,Here We Are,Gloria Estefan,0
3-Mar-90,7,Price Of Love,Bad English,0
3-Mar-90,8,We Can t Go Wrong,The Cover Girls,0
3-Mar-90,9,Black Velvet,Alannah Myles,0
3-Mar-90,10,No More Lies,Michel le,0
10-Mar-90,1,Escapade,Janet Jackson,0
10-Mar-90,2,Dangerous,Roxette,0
10-Mar-90,3,Roam,The B-52 s,0
10-Mar-90,4,Black Velvet,Alannah Myles,0
10-Mar-90,5,Price Of Love,Bad English,0
10-Mar-90,6,Opposites Attract,Paula Abdul (Duet With The Wild Pair),1
10-Mar-90,7,No More Lies,Michel le,0
10-Mar-90,8,Here We Are,Gloria Estefan,0
10-Mar-90,9,I Go To Extremes,Billy Joel,0
10-Mar-90,10,Love Will Lead You Back,Taylor Dayne,0
17-Mar-90,1,Escapade,Janet Jackson,0
17-Mar-90,2,Black Velvet,Alannah Myles,0
17-Mar-90,3,Roam,The B-52 s,0
17-Mar-90,4,Love Will Lead You Back,Taylor Dayne,0
17-Mar-90,5,Price Of Love,Bad English,0
17-Mar-90,6,I Go To Extremes,Billy Joel,0
17-Mar-90,7,No More Lies,Michel le,0
17-Mar-90,8,I Wish It Would Rain Down,Phil Collins,0
17-Mar-90,9,Just A Friend,Biz Markie,0
17-Mar-90,10,C Mon And Get My Love,D-Mob With Cathy Dennis,1
24-Mar-90,1,Black Velvet,Alannah Myles,0
24-Mar-90,2,Love Will Lead You Back,Taylor Dayne,0
24-Mar-90,3,Escapade,Janet Jackson,0
24-Mar-90,4,Roam,The B-52 s,0
24-Mar-90,5,I Wish It Would Rain Down,Phil Collins,0
24-Mar-90,6,I ll Be Your Everything,Tommy Page,0
24-Mar-90,7,All Around The World,Lisa Stansfield,0
24-Mar-90,8,I Go To Extremes,Billy Joel,0
24-Mar-90,9,Keep It Together,Madonna,0
24-Mar-90,10,Get Up! (Before The Night Is Over),Technotronic,0
31-Mar-90,1,Black Velvet,Alannah Myles,0
31-Mar-90,2,Love Will Lead You Back,Taylor Dayne,0
31-Mar-90,3,I Wish It Would Rain Down,Phil Collins,0
31-Mar-90,4,I ll Be Your Everything,Tommy Page,0
31-Mar-90,5,All Around The World,Lisa Stansfield,0
31-Mar-90,6,Don t Wanna Fall In Love,Jane Child,0
31-Mar-90,7,Escapade,Janet Jackson,0
31-Mar-90,8,Keep It Together,Madonna,0
31-Mar-90,9,Get Up! (Before The Night Is Over),Technotronic,0
31-Mar-90,10,Here And Now,Luther Vandross,0
7-Apr-90,1,Love Will Lead You Back,Taylor Dayne,0
7-Apr-90,2,I ll Be Your Everything,Tommy Page,0
7-Apr-90,3,All Around The World,Lisa Stansfield,0
7-Apr-90,4,I Wish It Would Rain Down,Phil Collins,0
7-Apr-90,5,Black Velvet,Alannah Myles,0
7-Apr-90,6,Don t Wanna Fall In Love,Jane Child,0
7-Apr-90,7,Get Up! (Before The Night Is Over),Technotronic,0
7-Apr-90,8,Here And Now,Luther Vandross,0
7-Apr-90,9,Nothing Compares 2 U,Sinead O Connor,0
7-Apr-90,10,Forever,Kiss,0
14-Apr-90,1,I ll Be Your Everything,Tommy Page,0
14-Apr-90,2,Don t Wanna Fall In Love,Jane Child,0
14-Apr-90,3,All Around The World,Lisa Stansfield,0
14-Apr-90,4,Nothing Compares 2 U,Sinead O Connor,0
14-Apr-90,5,Love Will Lead You Back,Taylor Dayne,0
14-Apr-90,6,I Wanna Be Rich,Calloway,0
14-Apr-90,7,Here And Now,Luther Vandross,0
14-Apr-90,8,Get Up! (Before The Night Is Over),Technotronic,0
14-Apr-90,9,Forever,Kiss,0
14-Apr-90,10,Black Velvet,Alannah Myles,0
21-Apr-90,1,Nothing Compares 2 U,Sinead O Connor,0
21-Apr-90,2,Don t Wanna Fall In Love,Jane Child,0
21-Apr-90,3,All Around The World,Lisa Stansfield,0
21-Apr-90,4,I Wanna Be Rich,Calloway,0
21-Apr-90,5,I ll Be Your Everything,Tommy Page,0
21-Apr-90,6,Here And Now,Luther Vandross,0
21-Apr-90,7,How Can We Be Lovers,Michael Bolton,0
21-Apr-90,8,Forever,Kiss,0
21-Apr-90,9,Without You,Motley Crue,0
21-Apr-90,10,"Whole Wide World (From ""True Love"")",A me Lorain,0
28-Apr-90,1,Nothing Compares 2 U,Sinead O Connor,0
28-Apr-90,2,Don t Wanna Fall In Love,Jane Child,0
28-Apr-90,3,I Wanna Be Rich,Calloway,0
28-Apr-90,4,All Around The World,Lisa Stansfield,0
28-Apr-90,5,How Can We Be Lovers,Michael Bolton,0
28-Apr-90,6,Whip Appeal,Babyface,0
28-Apr-90,7,Here And Now,Luther Vandross,0
28-Apr-90,8,Without You,Motley Crue,0
28-Apr-90,9,"Whole Wide World (From ""True Love"")",A me Lorain,0
28-Apr-90,10,All I Wanna Do Is Make Love To You,Heart,0
5-May-90,1,Nothing Compares 2 U,Sinead O Connor,0
5-May-90,2,I Wanna Be Rich,Calloway,0
5-May-90,3,How Can We Be Lovers,Michael Bolton,0
5-May-90,4,Vogue,Madonna,0
5-May-90,5,All I Wanna Do Is Make Love To You,Heart,0
5-May-90,6,Don t Wanna Fall In Love,Jane Child,0
5-May-90,7,Whip Appeal,Babyface,0
5-May-90,8,All Around The World,Lisa Stansfield,0
5-May-90,9,What It Takes,Aerosmith,0
5-May-90,10,Alright,Janet Jackson,0
12-May-90,1,Nothing Compares 2 U,Sinead O Connor,0
12-May-90,2,Vogue,Madonna,0
12-May-90,3,I Wanna Be Rich,Calloway,0
12-May-90,4,All I Wanna Do Is Make Love To You,Heart,0
12-May-90,5,How Can We Be Lovers,Michael Bolton,0
12-May-90,6,Hold On,Wilson Phillips,0
12-May-90,7,Sending All My Love,Linear,0
12-May-90,8,Alright,Janet Jackson,0
12-May-90,9,What It Takes,Aerosmith,0
