date,rank,title,artist,collab
1/6/90,1,Another Day In Paradise,Phil Collins,FALSE
1/6/90,2,Rhythm Nation,Janet Jackson,FALSE
1/6/90,3,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),TRUE
1/6/90,4,Pump Up The Jam,Technotronic,FALSE
1/6/90,5,With Every Beat Of My Heart,Taylor Dayne,FALSE
1/6/90,6,How Am I Supposed To Live Without You,Michael Bolton,FALSE
1/6/90,7,This One s For The Children,New Kids On The Block,
1/6/90,8,Just Like Jesse James,Cher,
1/6/90,9,We Didn t Start The Fire,Billy Joel,
1/6/90,10,Everything,Jody Watley,
1/13/90,1,Another Day In Paradise,Phil Collins,
1/13/90,2,Rhythm Nation,Janet Jackson,
1/13/90,3,Pump Up The Jam,Technotronic,
1/13/90,4,How Am I Supposed To Live Without You,Michael Bolton,
1/13/90,5,Don t Know Much,Linda Ronstadt (Featuring Aaron Neville),
1/13/90,6,Everything,Jody Watley,
1/13/90,7,This One s For The Children,New Kids On The Block,
1/13/90,8,Just Like Jesse James,Cher,
1/13/90,9,With Every Beat Of My Heart,Taylor Dayne,
1/13/90,10,Just Between You And Me,Lou Gramm,
1/20/90,1,How Am I Supposed To Live Without You,Michael Bolton,
1/20/90,2,Pump Up The Jam,Technotronic,
1/20/90,3,Another Day In Paradise,Phil Collins,
1/20/90,4,Everything,Jody Watley,
1/20/90,5,Downtown Train,Rod Stewart,
1/20/90,6,Rhythm Nation,Janet Jackson,
1/20/90,7,Just Between You And Me,Lou Gramm,
1/20/90,8,Free Fallin,Tom Petty,
1/20/90,9,Two To Make It Right,Seduction,
1/20/90,10,Love Song,Tesla,
1/27/90,1,How Am I Supposed To Live Without You,Michael Bolton,
1/27/90,2,Pump Up The Jam,Technotronic,
1/27/90,3,Downtown Train,Rod Stewart,
1/27/90,4,Everything,Jody Watley,
1/27/90,5,Two To Make It Right,Seduction,
1/27/90,6,Just Between You And Me,Lou Gramm,
1/27/90,7,Free Fallin,Tom Petty,
1/27/90,8,Opposites Attract,Paula Abdul (Duet With The Wild Pair),
1/27/90,9,I Remember You,Skid Row,
1/27/90,10,Another Day In Paradise,Phil Collins,
2/3/90,1,How Am I Supposed To Live Without You,Michael Bolton,
