
linda ronstadt,Don t Know Much
aaron neville,Don t Know Much
paula abdul duet,Opposites Attract
the wild pair,Opposites Attract
d-mob,C Mon And Get My Love
cathy dennis,C Mon And Get My Love
rod stewart,This Old Heart Of Mine
ronald isley,This Old Heart Of Mine
glenn medeiros,She Ain t Worth It
bobby brown,She Ain t Worth It
dna,Tom s Diner
suzanne vega,Tom s Diner
c+c music factory,Here We Go
f. williams,Here We Go
prince,Cream
the n.p.g.,Cream
roberta flack,Set The Night To Music
maxi priest,Set The Night To Music
george michael,Don t Let The Sun Go Down On Me
elton john,Don t Let The Sun Go Down On Me
prince,Diamonds And Pearls
the n.p.g.,Diamonds And Pearls
celine dion,Beauty And The Beast
peabo bryson,Beauty And The Beast
luther vandross,The Best Things In Life Are Free
janet jackson,The Best Things In Life Are Free
technotronic,Move This
ya kid k,Move This
prince,7
the new power generation,7
vanessa williams,"Love Is (From ""Beverly Hills, 90210"")"
brian mcknight,"Love Is (From ""Beverly Hills, 90210"")"
bryan adams,All For Love
rod stewart,All For Love
sting,All For Love
salt-n-pepa,Whatta Man
en vogue,Whatta Man
john mellencamp,Wild Night
me shell ndegeocello,Wild Night
method man,I'll Be There For You/You're All I Need To Get By
mary j. blige,I'll Be There For You/You're All I Need To Get By
michael jackson,"Scream/Childhood (From ""Free Willy 2"")"
janet jackson,"Scream/Childhood (From ""Free Willy 2"")"
jon b.,Someone To Love
babyface,Someone To Love
coolio,"Gangsta's Paradise (From ""Dangerous Minds"")"
l.v.,"Gangsta's Paradise (From ""Dangerous Minds"")"
mariah carey,One Sweet Day
boyz ii men,One Sweet Day
r. kelly,Down Low (Nobody Has To Know)
ronald isley,Down Low (Nobody Has To Know)
whitney houston,"Count On Me (From ""Waiting To Exhale"")"
cece winans,"Count On Me (From ""Waiting To Exhale"")"
mc lyte,"Keep On, Keepin' On (From ""Sunset Park"")"
xscape,"Keep On, Keepin' On (From ""Sunset Park"")"
adam clayton,"Theme From Mission: Impossible (From ""Mission: Impossible"")"
larry mullen,"Theme From Mission: Impossible (From ""Mission: Impossible"")"
2pac,How Do U Want It/California Love
kc,How Do U Want It/California Love
jojo,How Do U Want It/California Love
blackstreet,No Diggity
dr. dre,No Diggity
babyface,This Is For The Lover In You
ll cool j,This Is For The Lover In You
howard hewett,This Is For The Lover In You
jody watley,This Is For The Lover In You
jef,This Is For The Lover In You
keith sweat,Nobody
athena cage,Nobody
barbra streisand,"I Finally Found Someone (From ""The Mirror Has Two Faces"")"
bryan adams,"I Finally Found Someone (From ""The Mirror Has Two Faces"")"
puff daddy,Can t Nobody Hold Me Down
mase,Can t Nobody Hold Me Down
puff daddy,Can't Nobody Hold Me Down
mase,Can't Nobody Hold Me Down
foxy brown,I'll Be
jay-z,I'll Be
az yet,Hard To Say I'm Sorry
peter cetera,Hard To Say I'm Sorry
b-rock,My Baby Daddy
the bizz,My Baby Daddy
tim mcgraw,It's Your Love
faith hill,It's Your Love
puff daddy,I'll Be Missing You
faith evans,I'll Be Missing You
112,I'll Be Missing You
tim mcgraw,It s Your Love
faith hill,It s Your Love
the notorious b.i.g.,Mo Money Mo Problems
puff daddy,Mo Money Mo Problems
lil  kim,Not Tonight
da brat,Not Tonight
left eye,Not Tonight
missy elliott,Not Tonight
mase,Mo Money Mo Problems
lil' kim,Not Tonight
angie mar,Not Tonight
allure,All Cried Out
112,All Cried Out
somethin' for the people,My Love Is The Shhh!
trina,My Love Is The Shhh!
tamara,My Love Is The Shhh!
puff daddy,Been Around The World
the family,Been Around The World
the notorious b.i.g.,Been Around The World
mase,Been Around The World
mase,What You Want
total,What You Want
montell jordan,Let's Ride
master p,Let's Ride
silkk the shocker,Let's Ride
sylk-e. fyne,Romeo And Juliet
chill,Romeo And Juliet
montell jordan,Let s Ride
master p,Let s Ride
janet,I Get Lonely
blackstreet,I Get Lonely
puff daddy,Come With Me
jimmy page,Come With Me
nicole,Make It Hot
"missy ""misdemeanor"" elliott",Make It Hot
brandy,The Boy Is Mine
monica,The Boy Is Mine
mocha,Make It Hot
mase,Lookin' At Me
puff daddy,Lookin' At Me
dru hill,How Deep Is Your Love
redman,How Deep Is Your Love
total,Trippin
missy elliott,Trippin
whitney houston,Heartbreak Hotel
faith evans,Heartbreak Hotel
busta rhymes,What s It Gonna Be?!
janet,What s It Gonna Be?!
faith evans,All Night Long
puff daddy,All Night Long
jt money,Who Dat
sole,Who Dat
will smith,Wild Wild West
dru hill,Wild Wild West
naughty by nature,Jamboree
zhane,Jamboree
santana,Smooth
