date,year,collabs
6-Jan-90,1990,1
13-Jan-90,1990,1
20-Jan-90,1990,0
27-Jan-90,1990,1
3-Feb-90,1990,1
10-Feb-90,1990,1
17-Feb-90,1990,1
24-Feb-90,1990,1
3-Mar-90,1990,1
10-Mar-90,1990,1
17-Mar-90,1990,1
24-Mar-90,1990,0
31-Mar-90,1990,0
7-Apr-90,1990,0
14-Apr-90,1990,0
21-Apr-90,1990,0
28-Apr-90,1990,0
5-May-90,1990,0
12-May-90,1990,0
19-May-90,1990,0
26-May-90,1990,1
2-Jun-90,1990,0
9-Jun-90,1990,0
16-Jun-90,1990,0
23-Jun-90,1990,0
30-Jun-90,1990,1
7-Jul-90,1990,1
14-Jul-90,1990,1
21-Jul-90,1990,1
28-Jul-90,1990,1
4-Aug-90,1990,1
11-Aug-90,1990,1
18-Aug-90,1990,0
25-Aug-90,1990,0
1-Sep-90,1990,0
8-Sep-90,1990,0
15-Sep-90,1990,0
22-Sep-90,1990,0
29-Sep-90,1990,0
6-Oct-90,1990,0
13-Oct-90,1990,0
20-Oct-90,1990,0
27-Oct-90,1990,0
3-Nov-90,1990,0
10-Nov-90,1990,0
17-Nov-90,1990,0
24-Nov-90,1990,0
1-Dec-90,1990,0
8-Dec-90,1990,1
15-Dec-90,1990,1
22-Dec-90,1990,1
29-Dec-90,1990,1
5-Jan-91,1991,1
12-Jan-91,1991,1
19-Jan-91,1991,0
26-Jan-91,1991,0
2-Feb-91,1991,0
9-Feb-91,1991,0
16-Feb-91,1991,0
23-Feb-91,1991,0
2-Mar-91,1991,0
9-Mar-91,1991,0
16-Mar-91,1991,0
23-Mar-91,1991,0
30-Mar-91,1991,0
6-Apr-91,1991,0
13-Apr-91,1991,0
20-Apr-91,1991,1
27-Apr-91,1991,1
4-May-91,1991,1
11-May-91,1991,1
18-May-91,1991,1
25-May-91,1991,1
1-Jun-91,1991,0
8-Jun-91,1991,0
15-Jun-91,1991,0
22-Jun-91,1991,0
29-Jun-91,1991,0
6-Jul-91,1991,0
13-Jul-91,1991,0
20-Jul-91,1991,0
27-Jul-91,1991,0
3-Aug-91,1991,0
10-Aug-91,1991,0
17-Aug-91,1991,0
24-Aug-91,1991,0
31-Aug-91,1991,0
7-Sep-91,1991,0
14-Sep-91,1991,0
21-Sep-91,1991,0
28-Sep-91,1991,0
5-Oct-91,1991,0
12-Oct-91,1991,0
19-Oct-91,1991,0
26-Oct-91,1991,1
2-Nov-91,1991,1
9-Nov-91,1991,2
16-Nov-91,1991,2
23-Nov-91,1991,2
30-Nov-91,1991,1
7-Dec-91,1991,1
14-Dec-91,1991,0
21-Dec-91,1991,0
28-Dec-91,1991,0
4-Jan-92,1992,0
11-Jan-92,1992,1
18-Jan-92,1992,2
25-Jan-92,1992,2
1-Feb-92,1992,2
8-Feb-92,1992,2
15-Feb-92,1992,2
22-Feb-92,1992,2
29-Feb-92,1992,2
7-Mar-92,1992,1
14-Mar-92,1992,1
21-Mar-92,1992,0
28-Mar-92,1992,0
4-Apr-92,1992,1
11-Apr-92,1992,0
18-Apr-92,1992,1
25-Apr-92,1992,0
2-May-92,1992,0
9-May-92,1992,0
16-May-92,1992,0
23-May-92,1992,0
30-May-92,1992,0
6-Jun-92,1992,0
13-Jun-92,1992,1
20-Jun-92,1992,1
27-Jun-92,1992,1
4-Jul-92,1992,0
11-Jul-92,1992,0
18-Jul-92,1992,0
25-Jul-92,1992,0
1-Aug-92,1992,0
8-Aug-92,1992,0
15-Aug-92,1992,1
22-Aug-92,1992,0
29-Aug-92,1992,0
5-Sep-92,1992,1
12-Sep-92,1992,1
19-Sep-92,1992,0
26-Sep-92,1992,0
3-Oct-92,1992,0
10-Oct-92,1992,0
17-Oct-92,1992,0
24-Oct-92,1992,0
31-Oct-92,1992,0
7-Nov-92,1992,0
14-Nov-92,1992,0
21-Nov-92,1992,0
28-Nov-92,1992,0
5-Dec-92,1992,0
12-Dec-92,1992,0
19-Dec-92,1992,0
26-Dec-92,1992,0
2-Jan-93,1993,0
9-Jan-93,1993,0
16-Jan-93,1993,0
23-Jan-93,1993,0
30-Jan-93,1993,1
6-Feb-93,1993,1
13-Feb-93,1993,1
20-Feb-93,1993,1
27-Feb-93,1993,1
6-Mar-93,1993,0
13-Mar-93,1993,0
20-Mar-93,1993,0
27-Mar-93,1993,0
3-Apr-93,1993,0
10-Apr-93,1993,1
17-Apr-93,1993,1
24-Apr-93,1993,1
1-May-93,1993,1
8-May-93,1993,1
15-May-93,1993,1
22-May-93,1993,1
29-May-93,1993,1
5-Jun-93,1993,1
12-Jun-93,1993,0
19-Jun-93,1993,0
26-Jun-93,1993,0
3-Jul-93,1993,0
10-Jul-93,1993,0
17-Jul-93,1993,0
24-Jul-93,1993,0
31-Jul-93,1993,0
7-Aug-93,1993,0
14-Aug-93,1993,0
21-Aug-93,1993,0
28-Aug-93,1993,0
4-Sep-93,1993,0
11-Sep-93,1993,0
18-Sep-93,1993,0
25-Sep-93,1993,0
2-Oct-93,1993,0
9-Oct-93,1993,0
16-Oct-93,1993,0
23-Oct-93,1993,0
30-Oct-93,1993,0
6-Nov-93,1993,0
13-Nov-93,1993,0
20-Nov-93,1993,0
27-Nov-93,1993,0
4-Dec-93,1993,0
11-Dec-93,1993,1
18-Dec-93,1993,1
25-Dec-93,1993,1
1-Jan-94,1994,1
8-Jan-94,1994,1
15-Jan-94,1994,1
22-Jan-94,1994,1
29-Jan-94,1994,1
5-Feb-94,1994,1
12-Feb-94,1994,2
19-Feb-94,1994,2
26-Feb-94,1994,2
5-Mar-94,1994,2
12-Mar-94,1994,2
19-Mar-94,1994,1
26-Mar-94,1994,1
2-Apr-94,1994,1
9-Apr-94,1994,1
16-Apr-94,1994,1
23-Apr-94,1994,1
30-Apr-94,1994,0
7-May-94,1994,0
14-May-94,1994,0
21-May-94,1994,0
28-May-94,1994,0
4-Jun-94,1994,0
11-Jun-94,1994,0
18-Jun-94,1994,0
25-Jun-94,1994,0
2-Jul-94,1994,0
9-Jul-94,1994,0
16-Jul-94,1994,0
23-Jul-94,1994,0
30-Jul-94,1994,1
6-Aug-94,1994,1
13-Aug-94,1994,1
20-Aug-94,1994,1
27-Aug-94,1994,1
3-Sep-94,1994,1
10-Sep-94,1994,1
17-Sep-94,1994,1
24-Sep-94,1994,1
1-Oct-94,1994,1
8-Oct-94,1994,1
15-Oct-94,1994,1
22-Oct-94,1994,1
29-Oct-94,1994,0
5-Nov-94,1994,0
12-Nov-94,1994,0
19-Nov-94,1994,0
26-Nov-94,1994,0
3-Dec-94,1994,0
10-Dec-94,1994,0
17-Dec-94,1994,0
24-Dec-94,1994,0
31-Dec-94,1994,0
7-Jan-95,1995,0
14-Jan-95,1995,0
21-Jan-95,1995,0
28-Jan-95,1995,0
4-Feb-95,1995,0
11-Feb-95,1995,0
18-Feb-95,1995,0
25-Feb-95,1995,0
4-Mar-95,1995,0
11-Mar-95,1995,0
18-Mar-95,1995,0
25-Mar-95,1995,0
1-Apr-95,1995,0
8-Apr-95,1995,0
15-Apr-95,1995,0
22-Apr-95,1995,0
29-Apr-95,1995,0
6-May-95,1995,0
13-May-95,1995,0
20-May-95,1995,1
27-May-95,1995,1
3-Jun-95,1995,1
10-Jun-95,1995,1
17-Jun-95,1995,2
24-Jun-95,1995,2
1-Jul-95,1995,2
8-Jul-95,1995,2
15-Jul-95,1995,1
22-Jul-95,1995,1
29-Jul-95,1995,0
5-Aug-95,1995,1
12-Aug-95,1995,0
19-Aug-95,1995,0
26-Aug-95,1995,1
2-Sep-95,1995,1
9-Sep-95,1995,1
16-Sep-95,1995,1
23-Sep-95,1995,1
30-Sep-95,1995,1
7-Oct-95,1995,1
14-Oct-95,1995,1
21-Oct-95,1995,1
28-Oct-95,1995,1
4-Nov-95,1995,1
11-Nov-95,1995,1
18-Nov-95,1995,1
25-Nov-95,1995,1
2-Dec-95,1995,2
9-Dec-95,1995,2
16-Dec-95,1995,2
23-Dec-95,1995,2
30-Dec-95,1995,2
6-Jan-96,1996,2
13-Jan-96,1996,2
20-Jan-96,1996,2
27-Jan-96,1996,1
3-Feb-96,1996,1
10-Feb-96,1996,1
17-Feb-96,1996,1
24-Feb-96,1996,1
2-Mar-96,1996,1
9-Mar-96,1996,2
16-Mar-96,1996,2
23-Mar-96,1996,2
30-Mar-96,1996,2
6-Apr-96,1996,2
13-Apr-96,1996,1
20-Apr-96,1996,2
27-Apr-96,1996,2
4-May-96,1996,2
11-May-96,1996,2
18-May-96,1996,2
25-May-96,1996,1
1-Jun-96,1996,2
8-Jun-96,1996,0
15-Jun-96,1996,1
22-Jun-96,1996,2
29-Jun-96,1996,2
6-Jul-96,1996,2
13-Jul-96,1996,1
20-Jul-96,1996,1
27-Jul-96,1996,1
3-Aug-96,1996,1
10-Aug-96,1996,1
17-Aug-96,1996,1
24-Aug-96,1996,1
31-Aug-96,1996,0
7-Sep-96,1996,0
14-Sep-96,1996,0
21-Sep-96,1996,0
28-Sep-96,1996,0
5-Oct-96,1996,1
12-Oct-96,1996,0
19-Oct-96,1996,1
26-Oct-96,1996,2
2-Nov-96,1996,2
9-Nov-96,1996,3
16-Nov-96,1996,3
23-Nov-96,1996,3
30-Nov-96,1996,2
7-Dec-96,1996,3
14-Dec-96,1996,3
21-Dec-96,1996,3
28-Dec-96,1996,3
4-Jan-97,1997,2
11-Jan-97,1997,2
18-Jan-97,1997,2
25-Jan-97,1997,2
1-Feb-97,1997,2
8-Feb-97,1997,3
15-Feb-97,1997,3
22-Feb-97,1997,2
1-Mar-97,1997,2
8-Mar-97,1997,2
15-Mar-97,1997,1
22-Mar-97,1997,1
29-Mar-97,1997,2
5-Apr-97,1997,2
12-Apr-97,1997,2
19-Apr-97,1997,2
26-Apr-97,1997,2
3-May-97,1997,3
10-May-97,1997,2
17-May-97,1997,2
24-May-97,1997,1
31-May-97,1997,0
7-Jun-97,1997,2
14-Jun-97,1997,2
21-Jun-97,1997,2
28-Jun-97,1997,1
5-Jul-97,1997,1
12-Jul-97,1997,0
19-Jul-97,1997,1
26-Jul-97,1997,0
2-Aug-97,1997,1
9-Aug-97,1997,2
16-Aug-97,1997,3
23-Aug-97,1997,3
30-Aug-97,1997,3
6-Sep-97,1997,3
13-Sep-97,1997,2
20-Sep-97,1997,2
27-Sep-97,1997,2
4-Oct-97,1997,2
11-Oct-97,1997,1
18-Oct-97,1997,2
25-Oct-97,1997,2
1-Nov-97,1997,2
8-Nov-97,1997,2
15-Nov-97,1997,2
22-Nov-97,1997,2
29-Nov-97,1997,2
6-Dec-97,1997,2
13-Dec-97,1997,2
20-Dec-97,1997,2
27-Dec-97,1997,2
3-Jan-98,1998,1
10-Jan-98,1998,1
17-Jan-98,1998,1
24-Jan-98,1998,1
31-Jan-98,1998,1
7-Feb-98,1998,1
14-Feb-98,1998,1
21-Feb-98,1998,2
28-Feb-98,1998,1
7-Mar-98,1998,1
14-Mar-98,1998,1
