year,date,collabs,percent
1990,1-Jan-90,5,0.096153846
1991,1-Jan-91,2,0.038461538
1992,1-Jan-92,1,0.019230769
1993,1-Jan-93,0,0
1994,1-Jan-94,3,0.057692308
1995,1-Jan-95,8,0.153846154
1996,1-Jan-96,17,0.326923077
1997,1-Jan-97,12,0.230769231
1998,1-Jan-98,1,0.019230769
1999,1-Jan-99,13,0.25
2000,1-Jan-00,13,0.25
2001,1-Jan-01,17,0.326923077
2002,1-Jan-02,18,0.346153846
2003,1-Jan-03,31,0.596153846
2004,1-Jan-04,32,0.615384615
2005,1-Jan-05,19,0.365384615
2006,1-Jan-06,24,0.461538462
2007,1-Jan-07,15,0.288461538
2008,1-Jan-08,24,0.461538462
2009,1-Jan-09,7,0.134615385
2010,1-Jan-10,24,0.461538462
2011,1-Jan-11,25,0.480769231
2012,1-Jan-12,16,0.307692308
2013,1-Jan-13,28,0.538461538
2014,1-Jan-14,16,0.307692308
2015,1-Jan-15,27,0.519230769
