date,collabs,percent
1-Jan-90,22,0.042
1-Jan-91,18,0.035
1-Jan-92,25,0.048
1-Jan-93,17,0.033
1-Jan-94,35,0.067
1-Jan-95,39,0.075
1-Jan-96,79,0.152
1-Jan-97,97,0.187
1-Jan-98,63,0.121
1-Jan-99,78,0.150
1-Jan-00,48,0.092
1-Jan-01,135,0.260
1-Jan-02,196,0.377
1-Jan-03,262,0.504
1-Jan-04,231,0.444
1-Jan-05,198,0.381
1-Jan-06,180,0.346
1-Jan-07,214,0.412
1-Jan-08,167,0.321
1-Jan-09,133,0.256
1-Jan-10,214,0.412
1-Jan-11,216,0.415
1-Jan-12,143,0.275
1-Jan-13,237,0.456
1-Jan-14,209,0.402
1-Jan-15,101,0.194
